date,demand_amount,offered_amount,placed_amount,weighted_yield,cover_ratio,yield_spread,Flag_Nedospros,Flag_Perespros,MAD_score_cover,MAD_score_yield_spread
13-01-2016,33977.346999999994,17800.0,17322.915999999997,10.972297040521354,1.9088397191011233,,0,0,0.0,
20-01-2016,39812.036,20000.0,20000.0,12.96,1.9906018,1.9877029594786464,0,0,0.8176208089887682,0.0
27-01-2016,67923.765,30008.256999999998,25198.212,14.162071726358999,2.2635025086595335,1.202071726358998,0,1,3.337741721581872,-1.0
03-02-2016,77888.644531,27082.41339588,23189.08786632,7.717819389826926,2.8759861018460438,-6.444252336532073,0,1,4.223357902579929,-9.732713950956894
10-02-2016,88309.532,25000.0,24999.997,11.283999986879998,3.53238128,3.566180597053072,0,1,3.577704819048946,1.667683987459936
17-02-2016,92487.10200000001,30000.0,29999.998,10.193333331555555,3.0829034000000006,-1.0906666553244424,0,1,0.9395923154323165,-1.0
02-03-2016,91971.20499999999,35000.0,34999.997,10.607142842040814,2.627748714285714,0.41380951048525816,0,1,0.0,-0.25606483772552496
16-03-2016,63526.70300000001,30000.0,29999.998,10.063333369555558,2.117556766666667,-0.5438094724852558,0,1,-0.7410767146467964,-0.6365132294768716
23-03-2016,37135.833,30596.364,21263.003,9.951278624190572,1.2137335338277448,-0.11205474536498627,0,0,-2.8820313255621057,-0.2293607766378165
30-03-2016,82122.5755028,26902.7608057,22804.5667323,9.408432495009373,3.0525705557104144,-0.5428461291811981,0,1,1.2239141074852395,-0.4402065613876082
06-04-2016,45821.043000000005,30000.0,27402.216,10.136361377488594,1.5273681000000001,0.7279288824792207,0,0,-1.2018842902055822,0.6610432603330443
13-04-2016,72466.22099999999,30000.0,27041.563000000002,9.884448383031707,2.4155406999999998,-0.2519129944568874,0,1,0.15720287440765365,-0.16650116080338753
20-04-2016,89833.438,25000.0,25000.0,9.248,3.59333752,-0.6364483830317074,0,1,2.3244415629719413,-0.6041498342729548
27-04-2016,59786.68,25000.0,19729.999,10.344262601837942,2.3914672,1.0962626018379424,0,1,-0.024891268198383297,1.4385010697220841
11-05-2016,72821.226,30000.0,29999.998,9.023333331555556,2.4273742,-1.3209292702823863,0,1,0.02570011548069919,-1.2525549268057323
18-05-2016,39745.923,24765.576,22139.456,9.60365492087972,1.6048858706133062,0.5803215893241642,0,0,-1.6514937007158823,0.8242736069345944
25-05-2016,42418.903000000006,20000.0,17080.97,8.976802541073486,2.1209451500000003,-0.626852379806234,0,1,-0.5605193668130168,-0.5324615673629097
01-06-2016,18115.0,25000.0,11565.0,9.902382187635105,0.7246,0.9255796465616193,1,0,-3.314668560886339,1.2353031148829214
08-06-2016,69714.466,27367.207000000002,27367.206,8.833274259710693,2.5473723350724096,-1.0691079279244118,0,1,0.3230341023723754,-0.9879949631114616
15-06-2016,36752.92,25000.0,21148.731,9.76345630666918,1.4701168,0.9301820469584872,0,0,-1.7729850819405755,1.0890061402191291
22-06-2016,43053.57199999999,20000.0,20000.0,9.3075,2.1526785999999998,-0.4559563066691812,0,1,-0.30425549243269356,-0.3051246160031513
29-06-2016,34449.202000000005,20588.817000000003,20588.816,9.025763764171773,1.6731996792239205,-0.2817362358282267,0,0,-1.1207195344788532,-0.035835138256145024
06-07-2016,52977.165,30000.0,24510.042999999998,9.12754436456925,1.7659055000000001,0.10178060039747727,0,0,-0.8141389836351366,0.3440758969583174
13-07-2016,43070.509999999995,25000.0,23028.229,9.48128898492368,1.7228203999999998,0.3537446203544299,0,0,-0.9434588500157494,0.6727546023486514
20-07-2016,61622.171,25000.0,25000.0,9.94,2.46488684,0.45871101507631984,0,1,0.7263051862218759,0.7403643002387328
27-07-2016,70936.531,25000.0,24999.999,9.793999937359997,2.83746124,-0.14600006264000243,0,1,1.3571990966116283,-0.059473289443238896
03-08-2016,39946.626000000004,30000.0,21459.972,8.784529297615112,1.3315542,-1.009470639744885,0,0,-1.7284278158279667,-1.3575696245630697
10-08-2016,67940.572,25000.0,21239.436999999998,9.274801099953827,2.71762288,0.4902718023387145,0,1,1.0243889333091198,1.0
17-08-2016,59482.195,20000.0,19999.998,9.764999858499985,2.9741097499999998,0.4901987585461587,0,1,1.3142791854204556,0.8206535987298237
24-08-2016,41135.637,15000.0,14999.999,8.690000000000001,2.7423758,-1.074999858499984,0,1,0.7839389943861512,-1.5987093990894357
31-08-2016,35917.422,15000.0,14999.997,8.32,2.3944948,-0.370000000000001,0,1,0.006273161226461862,-0.38912823596580776
