auction_date,published_date,document_title,auction_format,issue,security_type,maturity_date,days_to_maturity,offered_amount,demand_amount,placed_amount,proceeds_amount,cutoff_price,weighted_average_price,cutoff_yield,weighted_average_yield,official_coefficient,cover_ratio,placement_ratio,source_url,source_file
16-03-2016,10-01-2017,Результаты проведенных аукционов по размещению государственных ценных бумаг в 2016 году на 30.12.2016,,29011RMFS,ОФЗ-ПК,29-01-2020,1414,10000.0,29796.41,10000.0,10514.5636,103.73049999999999,103.75559999999999,11.16,11.15,2.979641,2.979641,1.0,https://minfin.gov.ru/ru/document?id_4=104629-rezultaty_provedennykh_auktsionov_po_razmeshcheniyu_gosudarstvennykh_tsennykh_bumag_v_2016_godu_na_30.12.2016,INTERNET_Auction_Results_rus_2016_20161230_1.xlsx
23-03-2016,10-01-2017,Результаты проведенных аукционов по размещению государственных ценных бумаг в 2016 году на 30.12.2016,,26207RMFS,ОФЗ-ПД,03-02-2027,3969,12000.005,21742.833,12000.003,11484.54527115,94.8011,94.9225,9.1,9.08,1.8119019950408355,1.8119019950408355,0.9999998333334029,https://minfin.gov.ru/ru/document?id_4=104629-rezultaty_provedennykh_auktsionov_po_razmeshcheniyu_gosudarstvennykh_tsennykh_bumag_v_2016_godu_na_30.12.2016,INTERNET_Auction_Results_rus_2016_20161230_1.xlsx
23-03-2016,10-01-2017,Результаты проведенных аукционов по размещению государственных ценных бумаг в 2016 году на 30.12.2016,,29011RMFS,ОФЗ-ПК,29-01-2020,1407,18596.359,15393.0,9263.0,9778.71166,103.8,103.9454,11.129999999999999,11.08,0.8277426780156266,0.8277426780156266,0.4981082587188169,https://minfin.gov.ru/ru/document?id_4=104629-rezultaty_provedennykh_auktsionov_po_razmeshcheniyu_gosudarstvennykh_tsennykh_bumag_v_2016_godu_na_30.12.2016,INTERNET_Auction_Results_rus_2016_20161230_1.xlsx
30-03-2016,10-01-2017,Результаты проведенных аукционов по размещению государственных ценных бумаг в 2016 году на 30.12.2016,,24018RMFS,ОФЗ-ПК,27-12-2017,637,9333.539999999999,25059.509,9333.538,9793.495536879998,101.89999999999999,101.94099999999999,11.020000000000001,10.99,2.6848879417670037,2.6848879417670037,0.9999997857190307,https://minfin.gov.ru/ru/document?id_4=104629-rezultaty_provedennykh_auktsionov_po_razmeshcheniyu_gosudarstvennykh_tsennykh_bumag_v_2016_godu_na_30.12.2016,INTERNET_Auction_Results_rus_2016_20161230_1.xlsx
30-03-2016,10-01-2017,Результаты проведенных аукционов по размещению государственных ценных бумаг в 2016 году на 30.12.2016,,26217RMFS,ОФЗ-ПД,18-08-2021,1967,13620.961,46956.771,11456.507,10755.22839352,93.07,93.1598,9.370000000000001,9.34,3.447390459454366,3.447390459454366,0.8410938846385362,https://minfin.gov.ru/ru/document?id_4=104629-rezultaty_provedennykh_auktsionov_po_razmeshcheniyu_gosudarstvennykh_tsennykh_bumag_v_2016_godu_na_30.12.2016,INTERNET_Auction_Results_rus_2016_20161230_1.xlsx
30-03-2016,10-01-2017,Результаты проведенных аукционов по размещению государственных ценных бумаг в 2016 году на 30.12.2016,,52001RMFS,ОФЗ-ИН,16-08-2023,2695,3948.2598057,10106.2955028,2014.5217323,2045.6329234399998,101.25,101.3048,2.48,2.4699999999999998,2.559683506189183,2.559683506189183,0.5102302866168248,https://minfin.gov.ru/ru/document?id_4=104629-rezultaty_provedennykh_auktsionov_po_razmeshcheniyu_gosudarstvennykh_tsennykh_bumag_v_2016_godu_na_30.12.2016,INTERNET_Auction_Results_rus_2016_20161230_1.xlsx
06-04-2016,10-01-2017,Результаты проведенных аукционов по размещению государственных ценных бумаг в 2016 году на 30.12.2016,,26218RMFS,ОФЗ-ПД,17-09-2031,5642,20000.0,26197.543,17402.216,16460.88365309,94.40849999999999,94.5907,9.39,9.370000000000001,1.3098771500000002,1.3098771500000002,0.8701108,https://minfin.gov.ru/ru/document?id_4=104629-rezultaty_provedennykh_auktsionov_po_razmeshcheniyu_gosudarstvennykh_tsennykh_bumag_v_2016_godu_na_30.12.2016,INTERNET_Auction_Results_rus_2016_20161230_1.xlsx
06-04-2016,10-01-2017,Результаты проведенных аукционов по размещению государственных ценных бумаг в 2016 году на 30.12.2016,,29006RMFS,ОФЗ-ПК,29-01-2025,3220,10000.0,19623.5,10000.0,10828.9118725,106.3315,106.39909999999999,11.48,11.469999999999999,1.96235,1.96235,1.0,https://minfin.gov.ru/ru/document?id_4=104629-rezultaty_provedennykh_auktsionov_po_razmeshcheniyu_gosudarstvennykh_tsennykh_bumag_v_2016_godu_na_30.12.2016,INTERNET_Auction_Results_rus_2016_20161230_1.xlsx
13-04-2016,10-01-2017,Результаты проведенных аукционов по размещению государственных ценных бумаг в 2016 году на 30.12.2016,,26217RMFS,ОФЗ-ПД,18-08-2021,1953,20000.0,52598.626,20000.0,18749.167,92.7115,92.7388,9.47,9.46,2.6299313,2.6299313,1.0,https://minfin.gov.ru/ru/document?id_4=104629-rezultaty_provedennykh_auktsionov_po_razmeshcheniyu_gosudarstvennykh_tsennykh_bumag_v_2016_godu_na_30.12.2016,INTERNET_Auction_Results_rus_2016_20161230_1.xlsx
13-04-2016,10-01-2017,Результаты проведенных аукционов по размещению государственных ценных бумаг в 2016 году на 30.12.2016,,29011RMFS,ОФЗ-ПК,29-01-2020,1386,10000.0,19867.595,7041.563,7477.665171279999,103.8,103.87630000000001,11.110000000000001,11.09,1.9867595,1.9867595,0.7041563,https://minfin.gov.ru/ru/document?id_4=104629-rezultaty_provedennykh_auktsionov_po_razmeshcheniyu_gosudarstvennykh_tsennykh_bumag_v_2016_godu_na_30.12.2016,INTERNET_Auction_Results_rus_2016_20161230_1.xlsx
20-04-2016,10-01-2017,Результаты проведенных аукционов по размещению государственных ценных бумаг в 2016 году на 30.12.2016,,26207RMFS,ОФЗ-ПД,03-02-2027,3941,15000.0,45316.65,15000.0,14346.22745,94.14519999999999,94.2345,9.21,9.2,3.02111,3.02111,1.0,https://minfin.gov.ru/ru/document?id_4=104629-rezultaty_provedennykh_auktsionov_po_razmeshcheniyu_gosudarstvennykh_tsennykh_bumag_v_2016_godu_na_30.12.2016,INTERNET_Auction_Results_rus_2016_20161230_1.xlsx
20-04-2016,10-01-2017,Результаты проведенных аукционов по размещению государственных ценных бумаг в 2016 году на 30.12.2016,,26217RMFS,ОФЗ-ПД,18-08-2021,1946,10000.0,44516.788,10000.0,9443.9547,93.25,93.2885,9.33,9.32,4.4516788,4.4516788,1.0,https://minfin.gov.ru/ru/document?id_4=104629-rezultaty_provedennykh_auktsionov_po_razmeshcheniyu_gosudarstvennykh_tsennykh_bumag_v_2016_godu_na_30.12.2016,INTERNET_Auction_Results_rus_2016_20161230_1.xlsx
27-04-2016,10-01-2017,Результаты проведенных аукционов по размещению государственных ценных бумаг в 2016 году на 30.12.2016,,26207RMFS,ОФЗ-ПД,03-02-2027,3934,10000.0,46736.68,9999.999,9571.54911787,94.15,94.15249999999999,9.21,9.21,4.673668,4.673668,0.9999998999999999,https://minfin.gov.ru/ru/document?id_4=104629-rezultaty_provedennykh_auktsionov_po_razmeshcheniyu_gosudarstvennykh_tsennykh_bumag_v_2016_godu_na_30.12.2016,INTERNET_Auction_Results_rus_2016_20161230_1.xlsx
27-04-2016,10-01-2017,Результаты проведенных аукционов по размещению государственных ценных бумаг в 2016 году на 30.12.2016,,29006RMFS,ОФЗ-ПК,29-01-2025,3199,15000.0,13050.0,9730.0,10578.2205,106.0,106.1186,11.53,11.51,0.87,0.87,0.6486666666666666,https://minfin.gov.ru/ru/document?id_4=104629-rezultaty_provedennykh_auktsionov_po_razmeshcheniyu_gosudarstvennykh_tsennykh_bumag_v_2016_godu_na_30.12.2016,INTERNET_Auction_Results_rus_2016_20161230_1.xlsx
11-05-2016,10-01-2017,Результаты проведенных аукционов по размещению государственных ценных бумаг в 2016 году на 30.12.2016,,26217RMFS,ОФЗ-ПД,18-08-2021,1925,20000.0,43873.131,19999.998,19188.0530312,94.2715,94.3583,9.08,9.049999999999999,2.19365655,2.19365655,0.9999998999999999,https://minfin.gov.ru/ru/document?id_4=104629-rezultaty_provedennykh_auktsionov_po_razmeshcheniyu_gosudarstvennykh_tsennykh_bumag_v_2016_godu_na_30.12.2016,INTERNET_Auction_Results_rus_2016_20161230_1.xlsx
11-05-2016,10-01-2017,Результаты проведенных аукционов по размещению государственных ценных бумаг в 2016 году на 30.12.2016,,26218RMFS,ОФЗ-ПД,17-09-2031,5607,10000.0,28948.095,10000.0,9850.5755,97.67,97.6908,8.97,8.97,2.8948095,2.8948095,1.0,https://minfin.gov.ru/ru/document?id_4=104629-rezultaty_provedennykh_auktsionov_po_razmeshcheniyu_gosudarstvennykh_tsennykh_bumag_v_2016_godu_na_30.12.2016,INTERNET_Auction_Results_rus_2016_20161230_1.xlsx
18-05-2016,10-01-2017,Результаты проведенных аукционов по размещению государственных ценных бумаг в 2016 году на 30.12.2016,,24018RMFS,ОФЗ-ПК,27-12-2017,588,12000.0,17834.45,9373.882,10022.1729608,102.25,102.32090000000001,10.68,10.63,1.4862041666666668,1.4862041666666668,0.7811568333333333,https://minfin.gov.ru/ru/document?id_4=104629-rezultaty_provedennykh_auktsionov_po_razmeshcheniyu_gosudarstvennykh_tsennykh_bumag_v_2016_godu_na_30.12.2016,INTERNET_Auction_Results_rus_2016_20161230_1.xlsx
18-05-2016,10-01-2017,Результаты проведенных аукционов по размещению государственных ценных бумаг в 2016 году на 30.12.2016,,26207RMFS,ОФЗ-ПД,03-02-2027,3913,12765.576,21911.473,12765.574,12570.71793647,96.25,96.44160000000001,8.88,8.85,1.7164500058595087,1.7164500058595087,0.9999998433286521,https://minfin.gov.ru/ru/document?id_4=104629-rezultaty_provedennykh_auktsionov_po_razmeshcheniyu_gosudarstvennykh_tsennykh_bumag_v_2016_godu_na_30.12.2016,INTERNET_Auction_Results_rus_2016_20161230_1.xlsx
